accepted_name,n_raw_names_in_group,raw_name,sources,n_rows,status,rank_resolved
Hygrobates longipalpis,2,Hygrobates longipalpis,"envirotox,wqbench",2,gbif_resolved,SPECIES
Hygrobates longipalpis,2,Hydrobates longipalpis,anztox,1,gbif_resolved,SPECIES
Ilybius angustior,2,Ilybius angustior,anztox,2,gbif_resolved,SPECIES
Ilybius angustior,2,Ilybius augustior,envirotox,2,gbif_resolved,SPECIES
Isogenus,2,Isogenus sp.,wqbench,26,gbif_resolved,GENUS
Isogenus,2,Isogenus sp,envirotox,8,gbif_resolved,GENUS
Isonychia,2,Isonychia sp.,wqbench,52,gbif_resolved,GENUS
Isonychia,2,Isonychia sp,"anztox,envirotox",15,gbif_resolved,GENUS
Karenia brevis,2,Karenia brevis,wqbench,53,exact_filtered,Species
Karenia brevis,2,Gymnodinium breve,envirotox,5,exact_unaccepted_filtered,Species
Labeo catla,2,Gibelion catla,"envirotox,wqbench",664,exact_unaccepted_filtered,Species
Labeo catla,2,Catla catla,"anztox,envirotox",28,exact_unaccepted_filtered,Species
Lampsilis radiata,2,Lampsilis radiata,wqbench,4,exact_filtered,Species
Lampsilis radiata,2,Lampsilis fullerkati,wqbench,2,exact_unaccepted_filtered,Species
Lecane quadridentata,2,Lecane quadridentata,"envirotox,wqbench",94,exact_filtered,Species
Lecane quadridentata,2,Monostyla quadridentata,"envirotox,wqbench",3,exact_unaccepted_filtered,Species
Lepidocephalichthys thermalis,2,Lepidocephalichthys thermalis,"envirotox,wqbench",116,exact_filtered,Species
Lepidocephalichthys thermalis,2,Lepidocephalus thermalis,anztox,4,exact_unaccepted_filtered,Species
Lepidozona albrechtii,2,Lepidozona albrechti,envirotox,3,gbif_resolved,SPECIES
Lepidozona albrechtii,2,Lepidozona albrechtii,wqbench,3,gbif_resolved,SPECIES
Leptolyngbya boryana,2,Leptolyngbya boryana,"anztox,wqbench",11,exact_filtered,Species
Leptolyngbya boryana,2,Plectonema boryanum,"anztox,wqbench",3,exact_unaccepted_filtered,Species
Lethocerus,2,Lethocerus sp.,wqbench,2,gbif_resolved,GENUS
Lethocerus,2,Lethocerus sp,envirotox,1,gbif_resolved,GENUS
