casnumber_grouped,accepted_name,medium,min_tier_rank,max_tier_rank,n_distinct_tiers
94746,Raphidocelis subcapitata,Unknown,1,3,3
94757,Brachionus calyciflorus,Unknown,1,3,2
94757,Carassius auratus,Freshwater,2,3,2
94757,Carassius auratus,Unknown,1,3,2
94757,Chasmagnathus granulatus,Marine,2,3,2
94757,Crassostrea virginica,Marine,2,3,2
94757,Crassostrea virginica,Unknown,1,3,2
94757,Daphnia magna,Freshwater,1,3,3
94757,Daphnia magna,Unknown,1,3,3
94757,Daphnia pulex,Freshwater,1,3,2
94757,Daphnia pulex,Unknown,1,3,2
94757,Dunaliella tertiolecta,Marine,2,3,2
94757,Heteropneustes fossilis,Freshwater,1,3,3
94757,Isochrysis galbana,Marine,2,3,2
94757,Lithobates pipiens,Freshwater,1,3,2
94757,Macrobrachium lamarrei,Freshwater,1,3,3
94757,Metacarcinus magister,Marine,1,3,2
94757,Micropterus salmoides,Freshwater,2,3,2
94757,Myriophyllum aquaticum,Freshwater,2,3,2
94757,Myriophyllum spicatum,Freshwater,2,3,2
94757,Oncorhynchus mykiss,Freshwater,1,3,3
94757,Oncorhynchus mykiss,Unknown,1,3,2
94757,Oryzias latipes,Freshwater,1,3,3
94757,Oryzias latipes,Unknown,1,3,2
94757,Phaeodactylum tricornutum,Marine,2,3,2
94757,Physella acuta,Freshwater,1,3,2
94757,Pimephales promelas,Freshwater,1,3,3
94757,Pontastacus leptodactylus,Freshwater,1,3,3
95476,Daphnia magna,Unknown,1,3,2
95498,Daphnia magna,Unknown,1,3,2
95501,Cyclotella meneghiniana,Unknown,2,3,2
95501,Danio rerio,Unknown,1,3,2
95501,Daphnia magna,Freshwater,1,3,3
95501,Daphnia magna,Unknown,1,3,2
95501,Desmodesmus subspicatus,Unknown,1,3,3
95501,Labeo catla,Freshwater,1,3,3
95501,Melita longidactyla,Marine,1,3,3
95501,Mercenaria mercenaria,Marine,1,3,3
95501,Oncorhynchus mykiss,Freshwater,2,3,2
95501,Pimephales promelas,Freshwater,1,3,3
95501,Selenastrum capricornutum,Unknown,1,3,3
95512,Daphnia magna,Unknown,1,3,2
