scientificname,sources,n_rows,status,source_kingdom,source_phylum,resolved_kingdom,resolved_phylum,taxonomy_source
Halteria sp.,wqbench,1,genus_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Heterocapsa sp.,wqbench,1,gbif_resolved,Chromista,Pyrrophycophyta,Chromista,Myzozoa,wqbench
Holosticha kessleri,wqbench,1,exact_unaccepted_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Karayevia clevei,wqbench,1,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Komvophoron minutum,wqbench,1,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Landoltia sp.,wqbench,1,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Loxodes striatus,wqbench,1,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Mesotaenium caldariorum,wqbench,1,exact_filtered,Plantae,Chlorophyta,Plantae,Charophyta,wqbench
Microcystis pulverea ssp. incerta,wqbench,1,gbif_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Monochrysis sp.,wqbench,1,genus_resolved,Chromista,Chrysophyta,Chromista,Ochrophyta,wqbench
Naegleria lovaniensis,wqbench,1,gbif_resolved,Animalia,Protozoa,Protozoa,Amoebozoa,wqbench
Najas marina,wqbench,1,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Nitzschia angularis,envirotox,1,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,envirotox
Nitzschia minutula,wqbench,1,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Nitzschia ovalis,wqbench,1,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Nuphar sp.,wqbench,1,genus_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Paramecium primaurelia,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Paramecium putrinum,wqbench,1,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Paramecium sp.,wqbench,1,genus_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Pavlova gyrans,wqbench,1,exact_filtered,Chromista,Chrysophyta,Chromista,Haptophyta,wqbench
Philasterides dicentrarchi,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Phormidium sp.,wqbench,1,genus_resolved,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Pleurosira sp.,wqbench,1,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Potamogeton foliosus,wqbench,1,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Poterioochromonas malhamensis,wqbench,1,exact_filtered,Chromista,Chrysophyta,Chromista,Ochrophyta,wqbench
Ranunculus penicillatus,wqbench,1,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Ranunculus trichophyllus var. trichophyllus,wqbench,1,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Reimeria sinuata,wqbench,1,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Rhodomonas baltica,wqbench,1,exact_unaccepted_filtered,Plantae,Cryptophycophyta,Chromista,Cryptophyta,wqbench
Rhodomonas lacustris,wqbench,1,exact_filtered,Plantae,Cryptophycophyta,Chromista,Cryptophyta,wqbench
Sagittaria graminea,wqbench,1,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Scytonema multiramosum,wqbench,1,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Spirodela punctata,wqbench,1,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Stauroneis sp.,wqbench,1,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Stylonychia pustulata,wqbench,1,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Surirella brebissonii,wqbench,1,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Surirella sp.,wqbench,1,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Tetrahymena americanis,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Tetrahymena borealis,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Tetrahymena canadensis,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Tetrahymena corlissi,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Tetrahymena mimbres,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Tetrahymena mobilis,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Tetrahymena pigmentosa,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Tetrahymena shanghaiensis,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Tetrahymena tropicalis,wqbench,1,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Thalassiosira nordenskioeldii,wqbench,1,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Thalassiosira sp,envirotox,1,genus_resolved,Chromista,Bacillariophyta,Chromista,Heterokontophyta,envirotox
Triceratium dubium,wqbench,1,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Utricularia vulgaris ssp. macrorhiza,wqbench,1,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Wolffia globosa,wqbench,1,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Zannichellia palustris,wqbench,1,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
