source,scientificname,kingdom,phylum,subphylum,superclass,class,order_taxon,family,genus,common_name,source_majorgroup,source_minorgroup,source_trophic,source_ecological,source_animaltype,source_animalcategory,isheterotroph,ncbi_taxid
anztox,Ceriodaphnia acanthina,NA,NA,NA,NA,NA,NA,NA,NA,Water flea,CR,CLAD,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Ceriodaphnia cornuta,NA,NA,NA,NA,NA,NA,NA,NA,Water flea,Crustacea,Cladoceron,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Ceriodaphnia dubia,NA,NA,NA,NA,NA,NA,NA,NA,Water flea,Crustacea,Cladoceron,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Ceriodaphnia reticulata,NA,NA,NA,NA,NA,NA,NA,NA,Water flea,CR,CLAD,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Ceriodaphnia sp,NA,NA,NA,NA,NA,NA,NA,NA,Water flea,CR,CLAD,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Cerithidea cingulata,NA,NA,NA,NA,NA,NA,NA,NA,Horn shell,ML,GASR,NA,NA,Invertebrate,Molluscs,NA,NA
anztox,Chaetoceros gracilis,Chromista,Bacillariophyta,NA,NA,Mediophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Champia parvula,NA,NA,NA,NA,NA,NA,NA,NA,Red algae,AL,RHOD,NA,NA,Plant,Red algae,NA,NA
anztox,Channa gachua,NA,NA,NA,NA,NA,NA,NA,NA,Snake-head catfish,OS,CHNN,NA,NA,Fish,Fish,NA,NA
anztox,Channa marulius,NA,NA,NA,NA,NA,NA,NA,NA,Snake-head catfish,OS,CHNN,NA,NA,Fish,Fish,NA,NA
anztox,Channa punctatus,NA,NA,NA,NA,NA,NA,NA,NA,Snake-head catfish,OS,CHNN,NA,NA,Fish,Fish,NA,NA
anztox,Channa striata,NA,NA,NA,NA,NA,NA,NA,NA,Snake-head catfish,OS,CHNN,NA,NA,Fish,Fish,NA,NA
anztox,Chaoborus obscuripes,NA,NA,NA,NA,NA,NA,NA,NA,Midge,IN,DIPT,NA,NA,Invertebrate,Insects,NA,NA
anztox,Chaoborus sp,NA,NA,NA,NA,NA,NA,NA,NA,Phantom midge,IN,DIPT,NA,NA,Invertebrate,Insects,NA,NA
anztox,Chasmagnathus granulata,NA,NA,NA,NA,NA,NA,NA,NA,Crab,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Chelura terebrans,NA,NA,NA,NA,NA,NA,NA,NA,Amphipod,CR,AMPH,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Cheumatopsyche brevilineata,Animalia,Arthropoda,NA,NA,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macroinvertebrate,NA,NA
anztox,Cheumatopsyche pettiti,NA,NA,NA,NA,NA,NA,NA,NA,Caddisfly,IN,TRIO,NA,NA,Invertebrate,Insects,NA,NA
anztox,Cheumatopsyche sp,NA,NA,NA,NA,NA,NA,NA,NA,Caddisfly,IN,TRIO,NA,NA,Invertebrate,Insects,NA,NA
anztox,Chilomonas paramecium,NA,NA,NA,NA,NA,NA,NA,NA,Cryptomonad,AL,CRYP,NA,NA,Others,Brown algae,NA,NA
anztox,Chironomidae,NA,NA,NA,NA,NA,NA,NA,NA,Midge family,IN,DIPT,NA,NA,Invertebrate,Insects,NA,NA
anztox,Chironomus dilutus,Animalia,Arthropoda,NA,NA,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macroinvertebrate,NA,NA
anztox,Chironomus plumosus,NA,NA,NA,NA,NA,NA,NA,NA,Midge,IN,DIPT,NA,NA,Invertebrate,Insects,NA,NA
anztox,Chironomus riparius,NA,NA,NA,NA,NA,NA,NA,NA,Midge,IN,DIPT,NA,NA,Invertebrate,Insects,NA,NA
anztox,Chironomus sp,NA,NA,NA,NA,NA,NA,NA,NA,Midge,IN,DIPT,NA,NA,Invertebrate,Insects,NA,NA
anztox,Chironomus tentans,NA,NA,NA,NA,NA,NA,NA,NA,Midge,IN,DIPT,NA,NA,Invertebrate,Insects,NA,NA
anztox,Chironomus thummi,NA,NA,NA,NA,NA,NA,NA,NA,Midge,IN,DIPT,NA,NA,Invertebrate,Insects,NA,NA
anztox,Chlamydomanas - Strain CC125,Plantae,Chlorophyta,NA,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Chlamydomanas - Strain CC1373,Plantae,Chlorophyta,NA,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Chlamydomanas - Strain CC2290,Plantae,Chlorophyta,NA,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Chlamydomanas - Strain CC2342,Plantae,Chlorophyta,NA,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Chlamydomanas - Strain CC2343,Plantae,Chlorophyta,NA,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Chlamydomanas - Strain CC2344,Plantae,Chlorophyta,NA,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Chlamydomanas - Strain CC2931,Plantae,Chlorophyta,NA,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Chlamydomanas - Strain CC2935,Plantae,Chlorophyta,NA,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Chlamydomanas reinhardi,Plantae,Chlorophyta,NA,NA,Chlorophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Chlamydomonas geitleri,NA,NA,NA,NA,NA,NA,NA,NA,Green algae,AL,CHLO,NA,NA,Plant,Green algae,NA,NA
