raw_species,n_rows,sources,example_cas,worms_status,gbif_status,resolved_by,accepted_name,rank,kingdom,phylum,class,order,family,genus,habitat
Paracentrotus lividus,332,"anztox,wqbench",330541,exact,NA,worms,Paracentrotus lividus,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Parechinidae,Paracentrotus,marine
Anabaena flos-aquae,330,"anztox,envirotox",94757,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artemia franciscana,329,"envirotox,wqbench",4685147,exact,NA,worms,Artemia franciscana,Species,Animalia,Arthropoda,Branchiopoda,Anostraca,Artemiidae,Artemia,freshwater
Simocephalus serrulatus,328,"anztox,envirotox,wqbench",309002,exact,NA,worms,Simocephalus serrulatus,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Simocephalus,brackish|freshwater
Myriophyllum aquaticum,327,"anztox,wqbench",94757,no_match,gbif_exact,gbif,Myriophyllum aquaticum,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,NA
Paralichthys olivaceus,326,"envirotox,wqbench",84662,exact,NA,worms,Paralichthys olivaceus,Species,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys,marine
Palaemonetes kadiakensis,323,"anztox,envirotox,wqbench",2385855,exact_unaccepted,NA,worms,Palaemon kadiakensis,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemonetes,freshwater
Thamnocephalus platyurus,319,"envirotox,wqbench",1314132,no_match,gbif_exact,gbif,Thamnocephalus platyurus,SPECIES,Animalia,Arthropoda,Branchiopoda,Anostraca,Thamnocephalidae,Thamnocephalus,NA
Vallisneria natans,318,wqbench,68359,no_match,gbif_exact,gbif,Vallisneria natans,SPECIES,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Vallisneria,NA
Farfantepenaeus duorarum,317,wqbench,115297,exact_unaccepted,NA,worms,Penaeus (Farfantepenaeus) duorarum,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Farfantepenaeus,marine|brackish
Sparus aurata,316,"anztox,envirotox,wqbench",122349,exact,NA,worms,Sparus aurata,Species,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Sparus,marine|brackish
Macrocystis pyrifera,315,"anztox,envirotox,wqbench",7440508,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
